TARP,Tair,RH,VPD,Tair_1hr,RH_1hr,VPD_1hr,IRT
52.42,32.97,35.35,32.7,31.58,42.53,26.8,63.63
58.7,34.87,33.43,37.4,32.97,35.35,32.7,68.86
53.46,37.76,28.12,47.3,36.83,33.05,41.8,63.51
41.34,23.85,45.6,16.2,23.49,45.78,15.8,52.63
38.5,18.67,54.16,9.9,16.87,59.11,7.9,49.7
46.85,22.46,48.24,14.1,20.41,52.5,11.5,59.17
43.66,25.43,40.06,19.6,24.71,42.69,17.9,53.48
41.72,20.41,52.5,11.5,18.67,54.16,9.9,53.48
46.61,22.46,48.24,14.1,20.41,52.5,11.5,58.38
40.85,25.43,40.06,19.6,24.71,42.69,17.9,51.32
57.06,33,24,12,28.75,37.5,15,66.06
48.04,23.61,48.45,15.1,21.44,53.63,11.9,57.01
43.58,28.04,36.8,24.1,27.16,38.15,22.4,51.14
15.19,14.19,74.56,4.1,13.79,75.2,3.9,13.94
18.33,14.19,74.56,4.1,13.79,75.2,3.9,19.07
45.43,24.49,47.38,16.3,22.07,54.13,12.3,53.3
46.36,24.49,47.38,16.3,22.07,54.13,12.3,55.4
51.77,31.87,25.17,35.5,31.93,28.94,33.8,53.5
42.47,31.87,25.17,35.5,31.93,28.94,33.8,52.2
42.73,23.03,50.92,13.9,20.6,58.08,10.3,48.41
43.53,23.03,50.92,13.9,20.6,58.08,10.3,51.03
48.23,25.06,45.4,17.4,23.03,50.92,13.9,52.88
46.58,25.06,45.4,17.4,23.03,50.92,13.9,56.17
43.43,31.98,30.63,33.1,30.75,32.32,30.1,52.62
43.4,31.98,30.63,33.1,30.75,32.32,30.1,50.44
10.17,14.12,61.42,6.2,13.79,62.14,6,12.79
47.15,25.61,33.58,21.9,24.52,34.04,20.4,56.96
42.19,28.21,25.96,28.5,28.1,27.68,27.6,49.24
14.92,17.83,71.42,5.9,17.82,71.86,5.8,16.54
32.57,26.39,42.1,20,24,49.15,15.3,51.28
44.22,28.59,36.79,24.9,26.39,42.1,20,56.12
47.46,32.5,34.05,32.4,31.21,36.6,29,57.46
